n,Vhat_CVMM,abs_err_CVMM,Vhat_CV,abs_err_CV,Vhat_MM,abs_err_MM
10000,3.75888,0.0421926,3.76298,0.038095,3.75888,0.0421926
20000,3.82819,0.0271162,3.82592,0.0248481,3.82819,0.0271162
40000,3.81848,0.0174031,3.82151,0.020434,3.81848,0.0174031
80000,3.81727,0.0161974,3.81634,0.0152651,3.81727,0.0161974
160000,3.79555,0.00552481,3.79517,0.00590481,3.79555,0.00552481
320000,3.7987,0.00236892,3.79674,0.00433468,3.7987,0.00236892
640000,3.80862,0.00754674,3.80981,0.00873784,3.80862,0.00754674
1280000,3.80048,0.000592714,3.80027,0.000799877,3.80048,0.000592714
2560000,3.80005,0.00102287,3.79982,0.00125059,3.80005,0.00102287
5120000,3.80009,0.000982087,3.8,0.00107587,3.80009,0.000982087
