Binomial Tree Methods for European Options

V_BS,,5.5735260223,,,Delta_BS,,-0.3631693488,,,Gamma_BS,,0.0187620173,,,Theta_BS,,-5.8469265144

Binomial Tree
N,V(N),|V(N)-V_BS|,N*|V(N)-V_BS|,N^2*|V(N)-V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS|
10,5.3763514949,0.1971745273,1.9717452731,19.7174527314,-0.3663171211,0.0031477723,0.0205272130,0.0017651957,-1.9783769281,3.8685495863
20,5.4742026391,0.0993233831,1.9864676626,39.7293532530,-0.3647546077,0.0015852588,0.0195971864,0.0008351691,-1.8090151860,4.0379113284
40,5.5236939277,0.0498320945,1.9932837810,79.7313512404,-0.3639645854,0.0007952366,0.0191686917,0.0004066743,-1.7313519864,4.1155745280
80,5.5485691543,0.0249568679,1.9965494339,159.7239547143,-0.3635675881,0.0003982393,0.0189627350,0.0002007177,-1.6941130881,4.1528134263
160,5.5610376094,0.0124884129,1.9981460560,319.7033689671,-0.3633686198,0.0001992710,0.0188617342,0.0000997169,-1.6758734687,4.1710530457
320,5.5672793496,0.0062466727,1.9989352515,639.6592804883,-0.3632690217,0.0000996728,0.0188117169,0.0000496995,-1.6668464293,4.1800800851
640,5.5704020729,0.0031239493,1.9993275650,1279.5696416251,-0.3632191945,0.0000498457,0.0187868276,0.0000248102,-1.6623558350,4.1845706794
1280,5.5719638948,0.0015621275,1.9995231507,2559.3896329185,-0.3631942740,0.0000249252,0.0187744126,0.0000123953,-1.6601162363,4.1868102781

Average Binomial Tree
N,V(N),|V(N)-V_BS|,N*|V(N)-V_BS|,N^2*|V(N)-V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS|
10,5.5552470204,0.0182790018,0.1827900181,1.8279001812,-0.3675668768,0.0043975280,0.0199665430,0.0012045256,-1.8525956676,3.9943308469
